"texto"	"id"	"nombre"	"fecha"	"respuestaA"	"respuestaAid"	"favorito"	"n_favorito"	"retweeteado"	"n_retweet"	"es_retweet"	"fuente"	"longitud"	"latitud"
"RT @Blasterjaxx: Still sad about the Hodor scene... #got"	"735234230762901504"	"Ghina_YGE"	2016-05-24 22:21:15	NA	NA	FALSE	0	FALSE	11	TRUE	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>"	NA	NA
"RT @clementlegall: Assez d'internet pour aujourd'hui ! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#GOT #holdthedoor #lastepisode #hodor https://t.co/wmoWgZHD4n"	"735234215462178817"	"Caro_MCS"	2016-05-24 22:21:11	NA	NA	FALSE	0	FALSE	17	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @JosephNoctum: I'll never be able to hold a door the same way again.... #GoT #Hodor https://t.co/KuIEpOckRY"	"735234201629392896"	"darshu"	2016-05-24 22:21:08	NA	NA	FALSE	0	FALSE	447	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @GuitarZero6: Bon courage pour la VF de #GoT quand même. 
""Tiens la porte !"" 
Tiens la porte
Tiens la porte
Tiens porte
Tienporte
Tienpo…"	"735234187981168640"	"indierocky_"	2016-05-24 22:21:05	NA	NA	FALSE	0	FALSE	177	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @merlotmommy: Game of Thrones-Inspired Frozen Hot Chocolate w/ Baileys Irish Creme #gameofthrones #GoT https://t.co/NarfCx7noT https://t…"	"735234154741288960"	"laughteachlove"	2016-05-24 22:20:57	NA	NA	FALSE	0	FALSE	5	TRUE	"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"	NA	NA
"RT @hariharthaker: I was in the lift and the door was closing, when I heard a girl shout ""HODOR"".
AND That's HOW KIDS I met your Mother!
#G…"	"735234116086595584"	"Idilaaaay"	2016-05-24 22:20:47	NA	NA	FALSE	0	FALSE	35	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Oh shit! #GoT"	"735234068145655808"	"frmcan77"	2016-05-24 22:20:36	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @tzantzi: SUJETA LA PUERTAAAAAAA
SUJETA LA PUERTAAAA
SUJETALAPUERTAA
SUJETALAPU
SUJELAPU
SU PUTA MADRE.

#JuegoDeTronos #GoT @JuegoDeTro…"	"735234059153051649"	"Rose_YTPMQTM"	2016-05-24 22:20:34	NA	NA	FALSE	0	FALSE	278	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"#GOT got me like <ed><U+00A0><U+00BD><ed><U+00B8><U+00A5> https://t.co/aZcAgUZJ1C"	"735234049313230849"	"MACKONTHERADIO"	2016-05-24 22:20:32	NA	NA	FALSE	1	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"""Bientôt cette enfant écartera les jambes et commencera à pondre"" ah bah c'est charmant comme perception de la femme dis dont #GOT"	"735234010826301440"	"QuiniouMarie"	2016-05-24 22:20:22	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @RMGCharlie: I figured this was appropriate today. https://t.co/IExWtQ2rmz #Hodor #HoldTheDoor #GameOfThrones #GOT #Panda
https://t.co/M…"	"735233975782899712"	"whatconnorsaid7"	2016-05-24 22:20:14	NA	NA	FALSE	0	FALSE	481	TRUE	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	NA	NA
"#Lannister wooden clock #GameOfThrones #Blogger #Family #Fantasy #Fashion #FathersDay #GoT https://t.co/j4RSSmuhJX https://t.co/AU7dazTZtY"	"735233968589639685"	"woodentek"	2016-05-24 22:20:12	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://postcron.com"" rel=""nofollow"">PostcronApp</a>"	NA	NA
"Ramsey Bolton est le diable  #Got"	"735233946234019840"	"Le_MeeD"	2016-05-24 22:20:07	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @WiCnet: George RR Martin revealed 3 big twists ahead of time to the #GoT producers—we've seen 2. https://t.co/M6H6KTlH9T https://t.co/C…"	"735233898892775425"	"zayzhdh"	2016-05-24 22:19:56	NA	NA	FALSE	0	FALSE	42	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"@Brett_B_ estuvo suuuuuuuuuuper cruel #GOT :((((((((((((((((((("	"735233896560742400"	"SenoritaPoker"	2016-05-24 22:19:55	"Brett_B_"	"734883410683043840"	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"#This <ed><U+00AE><U+00B8><ed><U+00BC><U+00B9> #GOT #Hodor #doorstop Game of Thrones https://t.co/YjdJk0nuEr"	"735233881822089219"	"Data_Dreamer"	2016-05-24 22:19:52	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	NA	NA
"RT @MonsieurUnited: À chaque fois que je vois les Marcheurs Blancs, je pense à Liverpool et leur dernier titre de champion d'Angleterre <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>…"	"735233871529291776"	"JavierMUFC11"	2016-05-24 22:19:49	NA	NA	FALSE	0	FALSE	4	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
