"texto"	"id"	"nombre"	"fecha"	"respuestaA"	"respuestaAid"	"favorito"	"n_favorito"	"retweeteado"	"n_retweet"	"es_retweet"	"fuente"	"longitud"	"latitud"
"RT @kausmickey: Trump leads Clinton in Fox News poll https://t.co/6umz8TsjuG"	733137093849841664	"TFChawkatoonz"	"2016-05-19 03:27:58"	NA	NA	FALSE	0	FALSE	253	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Donald Trump Brings Up 1999 Rape Allegation Against Bill Clinton #PresidentialElectionof2016 https://t.co/WAF4mHYu2K"	733149107116593152	"lcrursmbus"	"2016-05-19 04:15:43"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>"	NA	NA
"RT @TROLLGAWDD: Fuck Donald Trump"	733135470104809472	"_KingJayJay"	"2016-05-19 03:21:31"	NA	NA	FALSE	0	FALSE	1258	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @ABC: VP Joe Biden rips Donald Trump for suggesting American workers' wages are too high. https://t.co/KxpvRPtEum https://t.co/sMuucexGlu"	733121690360766464	"grayner"	"2016-05-19 02:26:46"	NA	NA	FALSE	0	FALSE	232	TRUE	"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>"	NA	NA
"RT @lizzwinstead: Oh Stop with the ""We're party of Lincoln &amp; Reagan"" You're the party of ghoulish rubes like,Ted Cruz, Steve King &amp; your le…"	733136320302874624	"KenSimonSays"	"2016-05-19 03:24:54"	NA	NA	FALSE	0	FALSE	67	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @politico: Donald Trump accuses Bill Clinton of rape https://t.co/p51oOMnQBz"	733195976127741952	"realTimbaTech"	"2016-05-19 07:21:57"	NA	NA	FALSE	0	FALSE	20	TRUE	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>"	NA	NA
"RT @Brasilmagic: Trump Is Finally Getting His Own Cards Against Humanity https://t.co/poCtfq4Wd6"	733120947977392128	"VirgoJohnny"	"2016-05-19 02:23:49"	NA	NA	FALSE	0	FALSE	1	TRUE	"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>"	NA	NA
"RT @Veteran4Trump: Carlos Limon, born and raised in Mexico is now in the US Legally and supports Donald Trump for President. #Trump2016 htt…"	733127837369176064	"ManahawkinMikey"	"2016-05-19 02:51:11"	NA	NA	FALSE	0	FALSE	956	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"Is the ‘Never Trump’ Movement No More? Romney Reportedly Gives Up Recruiting Third-Party Candidate: “Donald T... https://t.co/avxHvOKWGZ"	733167869836427264	"Harley_Woody"	"2016-05-19 05:30:16"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"	NA	NA
"Ivanka Trump responds to ""disturbing"" accusations about her father https://t.co/aYn5yFaKea v"	733214643037081600	"inyourface34"	"2016-05-19 08:36:08"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @kausmickey: Trump leads Clinton in Fox News poll https://t.co/6umz8TsjuG"	733137489372667904	"boudreaulorrain"	"2016-05-19 03:29:33"	NA	NA	FALSE	0	FALSE	253	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"Donald Trump Brings Up 1999 Rape Allegation Against Bill Clinton #PresidentialElectionof2016 https://t.co/y3zP2ZSEPq"	733149147381927936	"CrabtreeWampler"	"2016-05-19 04:15:52"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>"	NA	NA
"RT @colbertlateshow: ""It's a creepy creature that crawled on top of it"" – an astute toddler describing the mystery that is Donald Trump’s h…"	733153609718857728	"TheDeadCanWrite"	"2016-05-19 04:33:36"	NA	NA	FALSE	0	FALSE	32	TRUE	"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"	NA	NA
